video_id,title,channel,published_at,comment
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Get the TIRTIR foundation on Amazon! https://go.shopmy.us/p-15023628
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,I went to the beauty supply store last week and saw this foundation with picture of Miss Darcei on the advertisement 🙂
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,Can you try the viral foundation shade match machine?
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,티르티르
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,In 3 days this Video was exactly a year ago
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,When you put in the first one I thought you put in nothing so that is definitely your shade
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,U look so good in it❤
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,"*Hihihihi.* Let’s use the darkest one 😈
Gurl ur such a vibe 💅🏻✨✨"
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,They call me was epic
YOLbmBYU-3E,DARKEST SHADE OF A KOREAN FOUNDATION,MissDarcei,2024-05-24T14:46:18Z,"""Did they swatch me in my sleep?""😂😂😂🤣🤣🤣"
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,Makeup ❌  face painting ✔️
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,3
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,Itna Sara mere ko Kaun karta hai😂❤🎉😢😮😅😊
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,May to bas BB cream hi lga ti hu or wo foundation se bhi neat and clean look deti hai ek natural beauty jesi vibe Ati ❤
W7Ghhl7Pfx8,Too much foundation ?🤮 #foundation #basemakeup #tiktokhacks #tiktoktrend #makeupshorts #shorts,shubhangi anand,2023-02-10T13:44:09Z,Wow you are looking very gorgeous
